"Prebivalci Slovenije po udeleženosti na turistiènih potovanjih (v 1000)"
"po: STAROST, MERITVE , ÈETRTLETJE"

"Starost - SKUPAJ"
" ";"Šli na turistièno potovanje (zasebno in/ali poslovno)"
" ";" ";"2014Q1";149
" ";" ";"2014Q2";189
" ";" ";"2014Q3";278
" ";" ";"2014Q4";139
" ";" ";"2015Q1";138
" ";" ";"2015Q2";229
" ";" ";"2015Q3";323
" ";" ";"2015Q4";135
" ";" ";"2016Q1";126
" ";" ";"2016Q2";193
" ";" ";"2016Q3";324
" ";" ";"2016Q4";148
" ";"Šli na zasebno potovanje"
" ";" ";"2006Q1";122
" ";" ";"2006Q2";188
" ";" ";"2006Q3";294
" ";" ";"2006Q4";113
" ";" ";"2007Q1";126
" ";" ";"2007Q2";104
" ";" ";"2007Q3";290
" ";" ";"2007Q4";112
" ";" ";"2008Q1";106
" ";" ";"2008Q2";168
" ";" ";"2008Q3";301
" ";" ";"2008Q4";126
" ";" ";"2009Q1";127
" ";" ";"2009Q2";146
" ";" ";"2009Q3";300
" ";" ";"2009Q4";116
" ";" ";"2010Q1";135
" ";" ";"2010Q2";175
" ";" ";"2010Q3";315
" ";" ";"2010Q4";119
" ";" ";"2011Q1";111
" ";" ";"2011Q2";170
" ";" ";"2011Q3";324
" ";" ";"2011Q4";130
" ";" ";"2012Q1";106
" ";" ";"2012Q2";168
" ";" ";"2012Q3";284
" ";" ";"2012Q4";133
" ";" ";"2013Q1";107
" ";" ";"2013Q2";171
" ";" ";"2013Q3";281
" ";" ";"2013Q4";133
" ";" ";"2014Q1";132
" ";" ";"2014Q2";179
" ";" ";"2014Q3";275
" ";" ";"2014Q4";123
" ";" ";"2015Q1";124
" ";" ";"2015Q2";210
" ";" ";"2015Q3";318
" ";" ";"2015Q4";120
" ";" ";"2016Q1";118
" ";" ";"2016Q2";175
" ";" ";"2016Q3";318
" ";" ";"2016Q4";134
"65 +"
" ";"Šli na turistièno potovanje (zasebno in/ali poslovno)"
" ";" ";"2006Q1";51M
" ";" ";"2006Q2";43M
" ";" ";"2006Q3";67
" ";" ";"2006Q4";41
" ";" ";"2007Q1";36M
" ";" ";"2007Q2";39M
" ";" ";"2007Q3";78
" ";" ";"2007Q4";37M
" ";" ";"2008Q1";29M
" ";" ";"2008Q2";46M
" ";" ";"2008Q3";64M
" ";" ";"2008Q4";36M
" ";" ";"2009Q1";31M
" ";" ";"2009Q2";59M
" ";" ";"2009Q3";75
" ";" ";"2009Q4";36M
" ";" ";"2010Q1";38M
" ";" ";"2010Q2";56M
" ";" ";"2010Q3";66M
" ";" ";"2010Q4";35M
" ";" ";"2011Q1";27M
