"TIME","GEO","DURATION","PURPOSE","DEST","TINFO","UNIT","Value","Flag and Footnotes"
"2007Q2","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","20,874",""
"2007Q2","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","41,237",""
"2007Q2","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","32,776",""
"2007Q2","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","7,615",""
"2007Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","4,273",""
"2007Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro","469",""
"2007Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":",""
"2007Q2","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","55,719",""
"2007Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","26,842",""
"2007Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro","9,281",""
"2007Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro","4,813",""
"2007Q3","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","68,229",""
"2007Q3","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","32,359",""
"2007Q3","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2007Q3","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2007Q3","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","360,462",""
"2007Q3","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","149,618",""
