"Zasebna potovanja po: ÈETRTLETJE, DESTINACIJA, VRSTA NASTANITVE ,"
"MERITVE"

" ";"Slovenija";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Tujina";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"Hoteli in podobni objekti";" ";" ";"Kampi";" ";" ";"Druge najete nastanitvene zmogljivosti";" ";" ";"Lastno poèitniško bivališèe";" ";" ";"Pri sorodnikih ali prijateljih";" ";" ";"Druge nenajete nastanitvene zmogljivosti";" ";" ";"Hoteli in podobni objekti";" ";" ";"Kampi";" ";" ";"Druge najete nastanitvene zmogljivosti";" ";" ";"Lastno poèitniško bivališèe";" ";" ";"Pri sorodnikih ali prijateljih";" ";" ";"Druge nenajete nastanitvene zmogljivosti";" ";" "
" ";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev"
"2012Q4";81;299;3.7;N;N;N;56;140;2.5;189M;378M;2.0M;225;399;1.8;-;-;-;94;400;4.3;N;N;N;40M;195M;4.8M;24M;80M;3.3M;80;294;3.7;N;N;N
"2013Q1";87;285;3.3;N;N;N;83M;262M;3.1M;N;N;N;149M;271M;1.8M;N;N;N;80M;310M;3.9M;-;-;-;81M;340M;4.2M;N;N;N;75M;333M;4.5M;N;N;N
"2013Q2";67M;210M;3.2M;N;N;N;37M;119M;3.3M;95M;230M;2.4M;230;410;1.8;N;N;N;173;679;3.9;65M;296M;4.6M;71M;353M;5.0M;92M;362M;3.9M;124M;536M;4.3M;N;N;N
"2013Q3";85;325;3.8;96M;312M;3.2M;148;630;4.2;130M;473M;3.6M;219;493;2.3;N;N;N;178;1033;5.8;269;1906;7.1;349;2816;8.1;187M;894M;4.8M;221;1244;5.6;N;N;N
"2013Q4";79;279;3.5;N;N;N;41M;115M;2.8M;98M;211M;2.2M;191;299;1.6;N;N;N;91;360;4.0;N;N;N;43M;232M;5.4M;48M;214M;4.4M;70;307;4.4;N;N;N
"2014Q1";80M;248M;3.1M;-;-;-;79M;248M;3.1M;113M;206M;1.8M;146M;281M;1.9M;N;N;N;60M;262M;4.4M;N;N;N;60M;350M;5.9M;N;N;N;73M;331M;4.5M;N;N;N
"2014Q2";64M;227M;3.5M;N;N;N;68M;196M;2.9M;115M;215M;1.9M;139M;320M;2.3M;N;N;N;169;685;4.1;43M;155M;3.6M;100;598;6.0;162M;527M;3.3M;95M;441M;4.7M;N;N;N
"2014Q3";122;420;3.5;N;N;N;114;434;3.8;176M;395M;2.2M;147M;438M;3.0M;N;N;N;176;1083;6.2;233;1504;6.5;365;2789;7.7;219M;1071M;4.9M;146;1076;7.4;N;N;N
"2014Q4";93;273;2.9;N;N;N;45M;143M;3.2M;82M;214M;2.6M;130;222;1.7;N;N;N;95;313;3.3;N;N;N;48M;264M;5.5M;40M;160M;4.0M;106;426;4.0;N;N;N
"2015Q1";85M;282M;3.3M;-;-;-;54M;202M;3.7M;N;N;N;121M;223M;1.9M;N;N;N;95M;324M;3.4M;N;N;N;59M;352M;6.0M;N;N;N;50M;336M;6.7M;-;-;-
