"Prebivalci Slovenije po udeleženosti na turistiènih potovanjih (v 1000)"
"po: MESEÈNI NETO DOHODEK NA ÈLANA GOSPODINJSTVA, MERITVE , ÈETRTLETJE"

"1. kvartil"
" ";"Šli na turistièno potovanje (zasebno in/ali poslovno)"
" ";" ";"2006Q1";149
" ";" ";"2006Q2";159
" ";" ";"2006Q3";257
" ";" ";"2006Q4";114
" ";" ";"2007Q1";102
" ";" ";"2007Q2";124
" ";" ";"2007Q3";233
" ";" ";"2007Q4";113
" ";" ";"2008Q1";116
" ";" ";"2008Q2";152
" ";" ";"2008Q3";216
" ";" ";"2008Q4";135
" ";" ";"2009Q1";136
" ";" ";"2009Q2";155
" ";" ";"2009Q3";248
" ";" ";"2009Q4";117
" ";" ";"2010Q1";132
" ";" ";"2010Q2";170
" ";" ";"2010Q3";249
" ";" ";"2010Q4";118
" ";" ";"2011Q1";118
" ";" ";"2011Q2";180
" ";" ";"2011Q3";237
" ";" ";"2011Q4";114
" ";" ";"2012Q1";82
" ";" ";"2012Q2";149
" ";" ";"2012Q3";219
" ";" ";"2012Q4";118
" ";" ";"2013Q1";91
" ";" ";"2013Q2";140
" ";" ";"2013Q3";215
" ";" ";"2013Q4";103
" ";" ";"2014Q1";102
" ";" ";"2014Q2";133
" ";" ";"2014Q3";213
" ";" ";"2014Q4";98
" ";" ";"2015Q1";112
" ";" ";"2015Q2";146
" ";" ";"2015Q3";210
" ";" ";"2015Q4";83
" ";" ";"2016Q1";108
" ";" ";"2016Q2";131
" ";" ";"2016Q3";191
" ";" ";"2016Q4";116
"Ni podatka"
" ";"Šli na turistièno potovanje (zasebno in/ali poslovno)"
" ";" ";"2006Q1";95
" ";" ";"2006Q2";108
" ";" ";"2006Q3";184
" ";" ";"2006Q4";114
" ";" ";"2007Q1";145
" ";" ";"2007Q2";125
" ";" ";"2007Q3";269
" ";" ";"2007Q4";137
" ";" ";"2008Q1";107
" ";" ";"2008Q2";119
" ";" ";"2008Q3";252
" ";" ";"2008Q4";112
" ";" ";"2009Q1";90
" ";" ";"2009Q2";123
" ";" ";"2009Q3";204
" ";" ";"2009Q4";90
" ";" ";"2010Q1";100
" ";" ";"2010Q2";147
" ";" ";"2010Q3";242
" ";" ";"2010Q4";106
" ";" ";"2011Q1";102
" ";" ";"2011Q2";98
" ";" ";"2011Q3";303
" ";" ";"2011Q4";131
" ";" ";"2012Q1";133
" ";" ";"2012Q2";157
" ";" ";"2012Q3";278
" ";" ";"2012Q4";164
" ";" ";"2013Q1";146
" ";" ";"2013Q2";147
" ";" ";"2013Q3";287
" ";" ";"2013Q4";161
" ";" ";"2014Q1";156
" ";" ";"2014Q2";210
" ";" ";"2014Q3";243
" ";" ";"2014Q4";123
" ";" ";"2015Q1";113
" ";" ";"2015Q2";189
" ";" ";"2015Q3";288
" ";" ";"2015Q4";125
" ";" ";"2016Q1";120
" ";" ";"2016Q2";188
" ";" ";"2016Q3";329
" ";" ";"2016Q4";170
" ";"Šli na zasebno potovanje"
" ";" ";"2006Q1";74
" ";" ";"2006Q2";92
" ";" ";"2006Q3";180
" ";" ";"2006Q4";98
" ";" ";"2007Q1";123
" ";" ";"2007Q2";112
" ";" ";"2007Q3";265
" ";" ";"2007Q4";115
" ";" ";"2008Q1";96
" ";" ";"2008Q2";100
" ";" ";"2008Q3";247
" ";" ";"2008Q4";93
" ";" ";"2009Q1";76
" ";" ";"2009Q2";108
" ";" ";"2009Q3";201
" ";" ";"2009Q4";77
" ";" ";"2010Q1";87
" ";" ";"2010Q2";130
" ";" ";"2010Q3";238
" ";" ";"2010Q4";88
" ";" ";"2011Q1";85
" ";" ";"2011Q2";81
" ";" ";"2011Q3";300
" ";" ";"2011Q4";114
" ";" ";"2012Q1";112
" ";" ";"2012Q2";135
" ";" ";"2012Q3";274
" ";" ";"2012Q4";132
" ";" ";"2013Q1";132
" ";" ";"2013Q2";136
" ";" ";"2013Q3";283
" ";" ";"2013Q4";133
" ";" ";"2014Q1";130
" ";" ";"2014Q2";192
" ";" ";"2014Q3";239
" ";" ";"2014Q4";103
" ";" ";"2015Q1";103
" ";" ";"2015Q2";176
" ";" ";"2015Q3";280
" ";" ";"2015Q4";114
" ";" ";"2016Q1";111
" ";" ";"2016Q2";166
" ";" ";"2016Q3";324
" ";" ";"2016Q4";146

"Vir: Statistièni urad Republike Slovenije "
" "
"Podatki so ocene, pridobljene z anketo, na vzorcu, ki predstavlja "
"celotno populacijo prebivalcev Slovenije, starih 15 let ali veè. "
" "
"Seštevki se zaradi zaokroževanja vedno ne ujemajo. "
" "

"Povezane vsebine: "
" "
"- (seznam "
"HREF=http://www.stat.si/statweb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8262 target=_blank) Metodološka pojasnila "

